time, Acceleration x, Acceleration y, acceleration z, distance
1584,0.00,0.00,0.00,42.97
1690,0.00,0.00,0.00,46.08
1797,0.00,0.00,0.00,46.08
1903,0.00,0.00,0.00,45.98
2010,0.00,0.00,0.00,45.98
2116,0.11,-0.76,9.42,46.08
2225,0.10,-0.84,9.40,46.08
2333,0.10,-0.82,9.45,45.98
2440,0.07,-0.77,9.41,46.08
2548,0.10,-0.73,9.37,45.98
2657,0.11,-0.80,9.40,45.98
2764,0.07,-0.87,9.42,45.98
2872,0.11,-0.84,9.40,46.08
2978,-0.11,-0.97,9.35,45.98
3085,0.47,-1.58,9.69,45.98
3192,-0.45,-0.26,9.29,45.98
3301,-0.10,-0.34,9.29,46.01
3409,-1.52,-0.87,10.59,45.43
3516,-2.16,-1.11,9.88,42.87
3624,-0.91,-0.60,9.13,37.81
3730,0.31,-0.34,8.83,32.11
3836,0.59,-0.79,8.59,26.79
3942,0.27,-0.74,8.84,22.19
4047,0.67,-1.09,8.95,17.97
4154,0.63,-0.41,9.19,14.09
4258,2.61,-0.40,10.92,11.98
4366,0.79,-0.41,10.45,11.46
4470,0.14,-0.97,9.50,11.74
4577,0.99,-0.49,9.04,12.37
4682,1.42,-0.45,10.09,14.02
4787,1.15,-0.86,9.70,17.90
4892,-0.01,-0.23,9.22,22.33
4998,-0.76,-0.41,6.90,27.10
5105,-0.33,-0.61,8.99,31.80
5213,-0.76,-0.42,9.07,35.85
5319,-0.44,-1.28,8.88,39.23
5427,-1.15,-0.82,9.59,41.93
5536,-1.14,-1.07,9.86,43.66
5643,-0.81,-0.70,9.59,43.87
5749,-0.15,-0.71,9.30,43.76
5858,0.17,-0.92,9.52,43.69
5964,-0.17,-0.62,9.43,43.69
6072,-0.22,-0.69,9.37,43.69
6180,-0.11,-0.75,9.33,43.80
6287,-0.33,-0.91,9.30,43.80
6394,0.00,-0.65,9.48,43.80
6501,-0.12,-0.87,9.42,43.80
6607,-0.11,-0.71,9.48,43.80
6716,-0.12,-0.77,9.38,43.69
6824,-0.17,-0.72,9.40,43.76
6932,-0.08,-0.78,9.50,43.69
7038,0.03,-0.83,9.44,43.80
7148,-0.07,-0.60,9.49,43.87
7255,-0.35,-0.79,9.28,43.68
7361,-0.73,-0.95,9.20,43.61
7468,-0.05,-0.70,8.88,43.20
7574,-1.52,-1.31,9.69,42.10
7682,-2.99,-1.43,9.21,38.82
7790,-1.81,-1.33,8.27,31.96
7896,1.48,-0.27,8.04,24.42
8002,1.71,-0.70,8.94,18.79
8108,1.79,-0.76,9.92,14.86
8214,1.14,-0.49,9.86,13.13
8318,1.27,-0.60,10.14,12.17
8424,0.28,-0.55,9.60,12.22
8528,2.43,-0.37,9.88,13.11
8635,2.77,-1.08,10.29,15.75
8740,1.33,-0.46,9.51,21.01
8848,-1.01,-0.13,5.65,27.12
8954,-0.97,-0.15,8.58,32.93
9062,-0.59,-0.65,9.13,38.13
9168,-0.95,-1.53,9.03,42.72
9275,-1.75,-0.78,9.67,46.39
9381,-2.75,-0.77,10.19,48.19
9489,0.46,-0.29,8.56,48.05
9596,-0.70,-0.88,9.74,47.99
9705,-1.34,-1.01,9.79,47.38
9815,-1.42,-0.23,11.94,44.52
9920,-0.86,-0.34,9.08,39.71
10027,0.69,-0.43,7.69,34.44
10133,0.62,-0.60,9.00,30.17
10240,0.46,-0.57,9.13,26.77
10347,0.39,-0.82,9.23,23.80
10452,0.52,-0.67,9.27,21.35
10559,0.55,-0.64,9.35,19.20
10664,0.46,-0.55,9.36,17.47
10772,0.37,-0.75,9.46,16.00
10876,0.46,-0.60,9.49,14.91
10983,0.36,-0.62,9.37,13.54
11087,0.52,-0.80,9.49,12.85
11192,1.22,-0.47,10.92,12.82
11297,0.82,-0.44,9.56,13.11
11404,0.84,-0.52,9.76,14.36
11509,0.65,-0.66,9.56,16.82
11616,0.44,-0.55,9.37,19.55
11721,0.03,-0.86,9.29,22.60
11829,-0.40,-0.73,9.21,25.78
11935,-0.49,-0.50,9.22,28.47
12041,-0.20,-0.71,9.32,30.65
12146,-0.12,-0.60,9.32,32.93
12254,-0.32,-0.92,9.27,35.22
12362,-0.20,-0.61,9.40,37.40
12468,-0.44,-0.83,9.42,39.37
12575,-0.44,-0.89,9.43,40.97
12685,-0.42,-0.40,9.45,42.41
12791,-0.10,-0.92,9.40,43.30
12899,-0.21,-0.45,9.24,44.72
13007,-0.77,-0.85,9.61,46.18
13116,-1.47,-0.78,10.29,46.87
13222,-0.68,-0.57,8.89,46.46
13331,-0.15,-0.54,9.80,45.84
13440,0.00,-0.80,9.44,45.00
13546,-0.18,-0.83,9.75,44.21
13654,-0.19,-0.88,9.58,42.94
13762,-0.12,-0.66,9.48,41.22
13870,0.05,-0.91,9.40,39.27
13976,0.19,-0.72,9.26,37.29
14084,0.01,-0.74,9.42,35.49
14191,0.08,-0.43,9.26,33.69
14298,0.17,-0.84,9.29,31.97
14403,0.08,-0.81,9.30,30.34
14510,0.26,-0.63,9.36,28.59
14617,0.27,-0.50,9.34,27.00
14723,0.16,-0.79,9.36,25.54
14829,0.00,-0.65,9.33,24.20
14936,0.18,-0.69,9.30,22.64
15042,0.47,-0.53,9.46,21.44
15149,0.10,-0.66,9.40,20.39
15254,0.08,-0.78,9.35,19.24
15358,0.16,-0.66,9.36,18.31
15465,0.12,-0.84,9.35,17.18
15570,0.15,-0.61,9.40,16.24
15676,0.37,-0.54,9.48,15.27
15783,-0.07,-0.79,9.24,14.45
15888,0.06,-0.71,9.39,13.20
15994,0.20,-0.68,9.38,12.22
16099,0.23,-0.73,9.36,11.50
16205,0.43,-0.69,9.41,10.85
16311,0.37,-0.65,9.61,10.33
16415,1.02,-0.71,10.28,10.01
16520,-0.26,-0.47,8.87,10.57
16624,0.28,-1.08,9.56,10.98
16731,0.39,-0.21,9.46,11.57
16836,0.27,-1.04,9.49,12.75
16943,-0.05,-0.56,9.27,14.16
17048,0.16,-0.83,9.49,15.45
17155,0.00,-0.55,9.29,16.65
17260,-0.16,-0.67,9.28,17.69
17367,0.11,-0.73,9.40,19.02
17472,-0.01,-0.56,9.45,20.32
17577,0.00,-0.67,9.59,21.66
17683,-0.31,-0.76,9.53,23.05
17790,-0.05,-0.58,9.35,24.61
17896,-0.09,-0.49,9.39,25.95
18002,-0.04,-0.64,9.34,27.41
18110,-0.20,-0.82,9.33,28.87
18215,0.14,-0.46,9.42,30.17
18324,-0.22,-0.71,9.35,31.73
18429,-0.48,-0.53,9.42,32.73
18537,-0.07,-1.28,9.40,33.74
18642,-0.07,-0.73,9.43,34.53
18749,-0.17,-0.33,9.45,35.37
18857,0.03,-0.79,9.30,36.33
18964,-0.14,-1.06,9.46,37.22
19072,-0.21,-0.84,9.38,38.05
19179,-0.29,-0.56,9.38,38.89
19286,-0.17,-0.61,9.41,39.58
19393,0.02,-0.89,9.39,40.19
19502,-0.10,-0.52,9.27,41.14
19608,-0.26,-0.94,9.43,42.10
19716,-0.38,-0.57,9.43,42.80
19824,-0.15,-0.79,9.35,43.42
19932,-0.12,-0.60,9.37,44.18
20038,0.01,-0.78,9.37,44.93
20145,-0.38,-0.71,9.49,46.08
20252,-1.47,-0.90,9.87,46.22
20359,0.36,-0.82,9.34,46.11
20467,0.53,-0.80,9.83,45.74
20576,0.81,-0.40,10.40,45.70
20682,-0.35,-0.98,9.87,45.70
20792,-0.22,-1.07,8.82,45.81
20898,0.42,-0.89,9.21,45.70
21005,-0.34,-0.58,9.31,45.70
21113,0.11,-0.39,9.70,45.81
21223,-0.15,-0.50,9.42,45.81
21329,0.00,-0.65,9.31,45.70
21437,-0.07,-0.89,9.36,45.63
21545,-0.03,-0.85,9.50,45.81
21653,-0.07,-0.72,9.52,45.74
21760,-0.01,-0.62,9.51,45.62
21868,0.00,-0.51,9.39,45.81
21978,-0.02,-0.50,9.39,45.81
22084,-0.05,-0.65,9.36,45.70
22192,0.02,-0.78,9.31,45.63
22300,0.00,-0.87,9.52,45.81
22407,-0.04,-0.84,9.47,45.74
22514,0.01,-0.70,9.49,45.67
22624,-0.01,-0.57,9.37,45.81
22731,0.01,-0.60,9.44,45.70
22838,-0.03,-0.67,9.40,45.70
22946,0.02,-0.80,9.42,45.70
23055,0.02,-0.87,9.38,45.70
23161,-0.04,-0.86,9.49,45.81
23269,0.00,-0.79,9.49,45.81
23378,-0.03,-0.72,9.42,45.81
23486,-0.03,-0.64,9.36,45.70
23592,0.00,-0.62,9.35,45.70
23701,0.00,-0.73,9.37,45.81
23810,-0.03,-0.79,9.48,45.79
23917,0.03,-0.84,9.48,45.70
24025,-0.02,-0.83,9.45,45.70
24133,0.01,-0.76,9.39,45.70
24241,0.00,-0.77,9.37,45.81
24348,-0.02,-0.72,9.35,45.81
24457,0.00,-0.72,9.44,45.69
24565,-0.01,-0.69,9.42,45.70
24672,-0.04,-0.70,9.44,45.69
24779,-0.04,-0.73,9.43,45.69
24888,-0.01,-0.79,9.38,45.81
24996,-0.02,-0.79,9.44,45.70
25103,-0.02,-0.69,9.41,45.70
25211,-0.03,-0.63,9.39,45.69
25320,0.00,-0.56,9.41,45.81
25426,0.00,-0.67,9.41,45.81
25535,-0.01,-0.74,9.43,45.70
25644,-0.02,-0.85,9.44,45.69
25751,0.02,-0.77,9.43,45.81
25859,0.00,-0.73,9.40,45.81
25967,0.01,-0.76,9.39,45.81
26076,-0.02,-0.79,9.41,45.70
26182,0.01,-0.76,9.41,45.69
26290,-0.05,-0.64,9.44,45.70
26398,-0.01,-0.88,9.40,45.81
26507,-0.02,-0.81,9.43,45.70
26613,-0.03,-0.75,9.38,45.63
26722,0.04,-0.57,9.45,45.70
26830,-0.08,-0.56,9.40,45.70
26937,0.07,-0.66,9.46,45.74
27044,0.00,-0.77,9.42,45.74
27154,0.03,-0.91,9.42,45.81
27261,0.01,-0.89,9.40,45.70
27368,0.00,-0.74,9.41,45.81
27476,-0.01,-0.61,9.42,45.81
27585,0.01,-0.64,9.42,45.81
27693,0.01,-0.77,9.44,45.81
27800,0.00,-0.86,9.43,45.70
27909,-0.02,-0.80,9.42,45.70
28015,-0.02,-0.66,9.44,45.63
28123,0.00,-0.60,9.41,45.63
28231,-0.02,-0.62,9.42,45.70
28340,0.00,-0.71,9.44,45.70
28446,-0.03,-0.77,9.40,45.70
28555,0.01,-0.81,9.44,45.70
28663,-0.02,-0.78,9.43,45.70
28770,0.02,-0.74,9.43,45.81
28877,-0.02,-0.71,9.44,45.74
28987,-0.01,-0.63,9.39,45.70
29094,-0.03,-0.65,9.43,45.81
29202,0.00,-0.66,9.43,45.81
29309,0.00,-0.74,9.41,45.74
29418,-0.04,-0.67,9.42,45.81
29526,-0.01,-0.65,9.40,45.74
29633,0.02,-0.70,9.40,45.63
29742,-0.03,-0.66,9.42,45.70
29849,-0.02,-0.61,9.44,45.74
29957,-0.01,-0.67,9.43,45.81
30064,0.01,-0.77,9.45,45.74
30173,0.00,-0.82,9.41,45.79
30280,0.05,-0.87,9.45,45.74
